F1,F2,F3,F4,gender,marital_status,academic_year,academic_failure,age_group,degree_program,faculty_environment,home_environment
3.5,4.0,2.0,4.0,Female,Single,Year 2,Once or twice,20-21,,Satisfied,Yes
3.3333333333333335,3.3333333333333335,2.75,3.0,Male,Single,Year 2,Never,20-21,,Satisfied,Yes
3.5,3.0,2.75,3.5,Female,Single,Year 1,Never,24-25,,Very satisfied,No
4.0,4.0,2.25,3.0,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
2.8333333333333335,2.6666666666666665,2.75,3.5,Female,Single,Year 2,Never,20-21,,Neither satisfied nor dissatisfied,Yes
3.0,3.6666666666666665,2.5,3.0,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
2.0,2.3333333333333335,1.5,3.0,Female,Single,Year 2,Never,20-21,,Neither satisfied nor dissatisfied,Yes
4.833333333333333,5.0,1.0,5.0,Female,Single,Year 2,Once or twice,22-23,,Neither satisfied nor dissatisfied,Yes
2.8333333333333335,2.3333333333333335,2.5,3.5,Male,Single,Year 2,Never,22-23,,Satisfied,Yes
3.3333333333333335,2.0,3.5,4.5,Female,Single,Year 2,Once or twice,20-21,,Satisfied,Yes
3.6666666666666665,3.0,1.25,1.0,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
2.8333333333333335,3.3333333333333335,3.0,3.0,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
3.6666666666666665,3.0,3.25,4.0,Female,Single,Year 2,Never,20-21,,Very dissatisfied,Yes
5.0,5.0,1.0,5.0,Male,Single,Year 2,Never,22-23,,Satisfied,Yes
3.3333333333333335,2.3333333333333335,2.0,3.0,Male,Single,Year 2,Never,20-21,,Satisfied,Yes
2.8333333333333335,3.0,3.0,2.5,Female,Single,Year 2,Never,20-21,,Very dissatisfied,Yes
3.0,3.0,2.25,3.5,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
2.6666666666666665,4.0,3.0,2.0,Male,Single,Year 2,Never,20-21,,Satisfied,Yes
2.8333333333333335,4.333333333333333,3.25,2.5,Female,Single,Year 2,Never,22-23,,Neither satisfied nor dissatisfied,Yes
4.0,4.0,2.0,3.5,Female,Single,Year 2,Never,22-23,,Very satisfied,Yes
4.0,4.0,2.0,3.0,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
2.8333333333333335,4.0,2.5,4.0,Female,Single,Year 2,Never,22-23,,Neither satisfied nor dissatisfied,Yes
3.1666666666666665,2.6666666666666665,2.25,1.5,Female,Single,Year 2,Never,20-21,,Satisfied,Yes
4.833333333333333,5.0,2.5,4.5,Male,Single,Year 2,Never,20-21,,Neither satisfied nor dissatisfied,Yes
3.0,3.0,1.5,3.0,Female,Single,Year 2,Never,20-21,,Neither satisfied nor dissatisfied,Yes
4.0,1.6666666666666667,4.25,2.0,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
3.8333333333333335,3.0,2.75,2.0,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
3.5,3.3333333333333335,2.5,3.5,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
3.5,3.6666666666666665,2.75,3.5,Male,Single,Year 2,Never,20-21,,Neither satisfied nor dissatisfied,Yes
3.0,3.0,3.0,3.5,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
4.0,4.333333333333333,2.5,3.5,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
3.1666666666666665,3.0,3.0,3.5,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
2.5,3.3333333333333335,1.75,1.5,Female,Single,Year 2,Never,22-23,,Satisfied,Yes
